"","mzmed","rtmed","FC","logFC","p.val.adj.DISEASE.CTR","threshold","FC.1","logFC.1","p.val.adj.TREATMENT.DISEASE","threshold.1","FC.combi","CTR","DISEASE","TREATMENT"
"M644T525_3",644.34999556071,524.8125,-25.3516089495749,-4.66400540621509,0.999999999953486,"FALSE",229.248931948878,7.84077120221819,0.0005636546104276,"TRUE",5811.82927487566,7451.06630270822,293.909010569255,67378.3267631531
"M684T417",684.408442852717,417.315,-13.0891168902449,-3.71029585824821,0.999999999953486,"FALSE",442.61248641318,8.78990034094138,0.00158847428572949,"TRUE",5793.40657174406,8128.9193572998,621.044141133626,274881.891479492
"M376T432",376.009711218765,431.98,-26.8848733492555,-4.74872277018936,0.999999999953486,"FALSE",208.599183570941,7.70458970112972,0.000105786931821516,"TRUE",5608.16263106285,12658.3093719482,470.833885192871,98215.5640487671
"M518T465",518.354677939956,465.121,-24.5053933582601,-4.61502739982546,0.999999999953486,"FALSE",227.035298283098,7.82677280755092,6.19370790772556e-05,"TRUE",5563.58929063723,47126.9453212193,1923.12543741862,436617.35732015
"M370T485_1",369.747018192474,484.7815,-24.841824229557,-4.63469921491521,0.999999999953486,"FALSE",223.173695996136,7.8020231860627,3.23046385569592e-05,"TRUE",5544.04172859661,8589.32515062605,345.760644276937,77164.6809132894
"M359T481_1",358.724915528329,481.426,-25.7949061370872,-4.68901429168595,0.999999999953486,"FALSE",214.574608580351,7.74533555644452,6.00215426494791e-05,"TRUE",5534.9318877324,4522.0765271868,175.30889638265,37616.8378219604
"M417T430_1",416.761408886724,430.291,-13.4137884829219,-3.7456448529066,0.999999999953486,"FALSE",410.700260088301,8.68194205072204,0.000652168101509712,"TRUE",5509.04641870549,13117.5411900112,977.91471862793,401629.829284668
"M439T434_1",438.774609339882,433.93,-12.8770448841929,-3.6867296464088,0.999999999953486,"FALSE",414.063980092786,8.6937098962214,0.00202803624210556,"TRUE",5331.92045658236,15663.7118530273,1216.4057820638,503669.819529216
"M651T478",651.436476254254,477.9935,-23.396972857297,-4.54824997827406,0.999999999953486,"FALSE",209.644749430456,7.71180288799861,7.08954793560501e-05,"TRUE",4905.05251209921,10513.2775126866,449.343493143717,94202.5040283203
"M638T412",638.379140560887,412.487,-12.4099410648327,-3.63342435897163,0.999999999953486,"FALSE",394.806475273993,8.62500184159809,0.000314670237475089,"TRUE",4899.52509016458,85217.0686732701,6866.83911132812,2711072.54581706
"M421T479",421.279384971244,478.674,-25.1470052445885,-4.65231469467817,0.999999999953486,"FALSE",194.250364821314,7.60177349793361,1.98586312439075e-05,"TRUE",4884.81494292482,104944.802054269,4173.25248209635,810655.817138672
"M122T313_1",121.520495673105,313.1325,-21.4321261111345,-4.42170307032611,0.999999999953486,"FALSE",227.873701648973,7.83209062605044,2.63536749367521e-07,"TRUE",4883.81791115183,14194.5975864955,662.3046875,150921.820760091
"M259T513",259.082203404155,513.461,-27.1107251716147,-4.76079179852776,0.999999999953486,"FALSE",176.925250415587,7.46699615102928,0.0106749840397601,"TRUE",4796.57183993607,42976.5969935826,1585.22491455078,280466.314971924
"M461T437_1",460.787403198595,437.374,-11.1484511709327,-3.47877138860034,0.999999999953486,"FALSE",422.800428063201,8.72383302714893,0.00211898589794091,"TRUE",4713.56992731206,11335.6194719587,1016.78872680664,429898.708943685
"M639T412",639.381824570755,412.4835,-11.7899924257093,-3.55949088636914,0.999999999953486,"FALSE",385.408790029618,8.59024566537184,0.00104013219186887,"TRUE",4543.96671525096,28678.4817068917,2432.44275919596,937484.820638021
"M262T313_1",261.978422713562,313.054,-21.9314865463164,-4.45493169806686,0.999999999953486,"FALSE",200.307326807083,7.64607138254253,9.96479127916376e-07,"TRUE",4393.03744299815,40704.877179827,1856.00173950195,371770.746988932
"M728T422",728.435376212538,421.9135,-10.7201877383331,-3.42225826624186,0.999999999953486,"FALSE",400.472451404582,8.64555919248619,0.00196029289487058,"TRUE",4293.13986308758,5223.80855887277,487.287040710449,195145.035730998
"M563T470",563.384175728449,469.8725,-20.8592128910787,-4.38261281460689,0.999999999953486,"FALSE",194.051124703779,7.60029298465981,7.9110286533971e-05,"TRUE",4047.75372194939,12591.1553780692,603.62562306722,117134.231056213
"M616T627",616.177457567191,627.262,-36.5169591118949,-5.19049472721806,0.999999999953486,"FALSE",104.701159628198,6.7101336108456,0.00883106176102946,"TRUE",3823.36796511089,37608.1119384766,1029.8807144165,107829.705078125
"M825T479",824.522074844104,478.674,-21.4846258069909,-4.42523274511535,0.999999999953486,"FALSE",175.339420437215,7.45400657421076,2.96450482925592e-05,"TRUE",3767.1018373082,7423.26855904715,345.515375773112,60582.4657402039
"M781T476",781.49927010693,475.862,-21.1796826523855,-4.40460906763311,0.999999999953486,"FALSE",176.014565608496,7.45955100989669,1.7921205989845e-05,"TRUE",3727.93264178544,6803.72533743722,321.238304138184,56542.6205596924
"M103T313",103.039066265572,313.056,-19.4570558901782,-4.28222152268515,0.999999999953486,"FALSE",191.299861241307,7.57969201700527,8.43361209948126e-06,"TRUE",3722.13209195545,24854.2022966657,1277.38761901855,244364.074269613
"M859T434",858.509915132888,433.9795,-9.59388313571202,-3.26211486599806,0.999999999953486,"FALSE",379.673857995535,8.56861685705256,0.0222387631027023,"TRUE",3642.54662329408,3662.63948277065,381.768198649089,144947.404841105
"M413T479_1",412.765703229832,478.7015,-21.0996752891567,-4.39914889181376,0.999999999953486,"FALSE",170.764060495356,7.41586056285395,1.25340673612946e-05,"TRUE",3603.06622750992,24526.8664158412,1162.42861938477,198501.031082153
"M324T418_1",323.696329877024,417.738,-10.8039892407833,-3.4334922031312,0.999999999953486,"FALSE",331.932122960933,8.37474444375827,0.00190468252130301,"TRUE",3586.19108514029,7812.2264818464,723.087214152018,240015.874079386
"M757T483",757.425900366461,482.787,-21.4388478341434,-4.42215546949684,0.999999999953486,"FALSE",164.838664102417,7.36491086655826,0.0043742354014383,"TRUE",3533.95103687519,4794.19108690534,223.621676127116,36861.498357137
"M466T484",465.806791703617,484.049,-20.7452329033449,-4.37470794908967,0.999999999953486,"FALSE",168.521077832082,7.39678523804855,1.31416606000668e-05,"TRUE",3496.00900874925,19193.537322998,925.202306111654,155916.089838664
"M487T486",487.318283747186,486.13,-19.7687427443063,-4.30514921611981,0.999999999953486,"FALSE",171.818808597481,7.4247441633003,1.09055305535015e-05,"TRUE",3396.64182579681,21688.3628452846,1097.10380299886,188503.06833903
"M414T488_1",413.737299296156,487.761,-19.9704985401844,-4.31979844331643,0.999999999953486,"FALSE",169.599684665155,7.40598967729117,0.00356598406811459,"TRUE",3386.99025502122,6120.51046534947,306.477600097656,51978.5043334961
"M336T465_1",335.703982835977,465.035,-20.9257692499357,-4.38720875339386,0.999999999953486,"FALSE",156.175481223255,7.28702416505887,2.74402331174502e-05,"TRUE",3268.09208257548,7924.90398189,378.715061187744,59146.0069274902
"M738T485",738.485508916985,484.7815,-19.2470023431178,-4.26656186321543,0.999999999953486,"FALSE",169.716391567718,7.40698209992009,8.61695300300473e-05,"TRUE",3266.53178616938,7311.685950143,379.886998494466,64473.050587972
"M697T469",697.398868835482,469.094,-20.2273651346827,-4.33823649809054,0.999999999953486,"FALSE",159.18025585227,7.31451759003745,3.68792506402087e-05,"TRUE",3219.79715735608,3734.31720406669,184.61708577474,29387.3949483236
"M701T405_2",701.393676268496,405.047,-17.2715798648569,-4.11032814989935,0.999999999953486,"FALSE",181.270651604714,7.50200155604975,7.0572962812003e-05,"TRUE",3130.83053634546,13070.0655735561,756.738276163737,137174.440414429
"M815T430",815.486843326996,430.13,-8.97874194754727,-3.16651331654974,0.999999999953486,"FALSE",344.696664915876,8.42918352987067,0.0101054119801909,"TRUE",3094.94240445982,3435.13611275809,382.585459391276,131875.931897481
"M435T481_1",434.778753935885,481.3615,-19.2542880695357,-4.26710787512231,0.999999999953486,"FALSE",157.950018076402,7.30332429196704,1.47957093404389e-05,"TRUE",3041.21514863142,15510.5801260812,805.564977010091,127239.002680461
"M696T406",696.438659789448,405.612,-16.8436448370284,-4.07413245534196,0.999999999953486,"FALSE",177.566723348197,7.4722174304791,9.31158218893914e-06,"TRUE",2990.8708229519,213311.316964286,12664.2017822266,2248740.81429036
"M515T887",515.334049478513,886.643,-21.6244512713364,-4.43459161916663,0.999999999953486,"FALSE",136.851188027417,7.09646414880221,0.000584912061860396,"TRUE",2959.33184692338,22437.9157278878,1037.61780802409,141999.229746501
"M213T432_1",213.039939786078,431.991,-18.1236081739979,-4.17979830063166,0.999999999953486,"FALSE",163.120391447059,7.34979333234372,0.00016670123746688,"TRUE",2956.33005977565,21431.9956534249,1182.54574076335,192897.32413737
"M687T418",687.360452051908,417.673,-8.91915945474629,-3.1569077563779,0.999999999953486,"FALSE",330.681833990871,8.36929998301727,0.00707526310395248,"TRUE",2949.40400615252,4668.59560285296,523.434481302897,173090.274251302
"M526T446_2",526.325265557737,446.38,-8.75184330893486,-3.12958690866906,0.999999999953486,"FALSE",328.504150970534,8.35976779029727,0.00398732114014461,"TRUE",2875.0168556288,5740.36424255371,655.903452555339,215467.006800334
"M778T531",778.43434660059,531.325,-18.5204284373489,-4.21104556806916,0.999999999953486,"FALSE",153.946389429209,7.2662842214078,0.000182512731344552,"TRUE",2851.1530886119,684.323910304478,36.9496803283691,5688.26987711589
"M363T543",363.129401531398,542.874,-17.820091501594,-4.15543283963479,0.999999999953486,"FALSE",156.652128053227,7.29142055802173,0.000768554125706298,"TRUE",2791.55525582792,11400.8191571917,639.773323059082,100221.85252889
"M697T405",697.441955463765,405.237,-16.2291895143778,-4.02051904839097,0.999999999953486,"FALSE",171.404709566956,7.42126293968925,1.12118302642107e-05,"TRUE",2781.75951521901,72055.0088413784,4439.84025065104,761009.528686523
"M800T485",800.449802095487,485.4985,-19.4519223158895,-4.28184082997345,0.999999999953486,"FALSE",141.937441541188,7.14911139651398,0.00553010331760554,"TRUE",2760.95608657529,7261.48735046387,373.304356892904,52985.8653335571
"M395T426_1",394.748191602507,426.152,-9.7929296877743,-3.29174052619578,0.999999999953486,"FALSE",276.462251112498,8.11093869428283,0.000245144722056903,"TRUE",2707.3753864685,6895.7059740339,704.151484171549,194671.304438273
"M777T531",777.431617159167,531.334,-16.9955959272974,-4.08708904377981,0.999999999953486,"FALSE",158.667293421715,7.30986096141839,0.000227024083517723,"TRUE",2696.6452058734,2143.60260118757,126.126945495605,20012.2210693359
"M392T485_1",391.724198521335,485.455,-18.1186072234349,-4.17940015462742,0.999999999953486,"FALSE",142.926113558329,7.159125720339,0.00380715620134011,"TRUE",2589.62211353541,4645.97816140311,256.420270284017,36649.1526692708
"M594T407",594.352940679825,407.076,-9.04463493355384,-3.17706227286526,0.999999999953486,"FALSE",275.490164689132,8.10585700364375,0.000245099341624538,"TRUE",2491.70796739782,94871.3663155692,10489.2421875,2889683.05769857
"M640T412",640.382444864201,412.487,-8.52775521838239,-3.09216602741532,0.999999999953486,"FALSE",290.274838449692,8.18127571173207,0.0013082716919047,"TRUE",2475.39276835446,8449.76387241909,990.854410807292,287620.104024251
"M740T410",740.464727863798,410.422,-15.4605849499898,-3.95052299943374,0.999999999953486,"FALSE",157.3903457899,7.29820323946259,2.17203734848275e-05,"TRUE",2433.34681139302,105460.520751953,6821.25036621094,1073598.95385742
"M617T627",617.180382551385,627.203,-29.3286334858998,-4.87423794780824,0.999999999953486,"FALSE",80.1745543838742,6.32507252497042,0.00832528202371503,"TRUE",2351.41012041999,14826.0972551618,505.516128540039,40529.5303395589
"M657T400",657.36762685736,399.853,-14.9187303855155,-3.89905285940426,0.999999999953486,"FALSE",156.37405077309,7.28885731669748,2.05467834829587e-05,"TRUE",2332.90230277465,25414.9791608538,1703.5617980957,266392.859110514
"M698T405",698.444512503089,405.416,-15.0376826074726,-3.91051035151037,0.999999999953486,"FALSE",154.437003309488,7.27087465543179,1.25002226351513e-05,"TRUE",2322.37463861728,17768.0468314035,1181.56815083822,182477.844421387
"M741T410",741.468024650663,410.4105,-14.8770319300813,-3.89501482248449,0.999999999953486,"FALSE",154.396261799515,7.27049401266188,2.00705099785752e-05,"TRUE",2296.95811667658,36750.9265659877,2470.31307983398,381407.105000814
"M595T407",595.355335458684,407.0735,-8.58706057948582,-3.10216436964931,0.999999999953486,"FALSE",266.311486995802,8.05697084841887,0.00125363884794298,"TRUE",2286.8328718459,29650.654070173,3452.94571940104,919559.109049479
"M348T481",347.734223746186,481.4335,-14.6813507724584,-3.87591280578483,0.999999999953486,"FALSE",149.447342309898,7.22349343091637,2.79017121311922e-05,"TRUE",2194.08885446327,8309.32086617606,565.977953592936,84583.900970459
"M653T400",653.415769013056,400.225,-14.2004452964505,-3.82786426524466,0.999999999953486,"FALSE",153.987971905719,7.2666738553074,4.69244124692119e-06,"TRUE",2186.69777135851,149012.840750558,10493.5329589844,1615877.85847982
"M652T400",652.412318412305,400.281,-13.9452544106361,-3.80170234934071,0.999999999953486,"FALSE",148.216951611288,7.2115666482617,2.75646082405607e-06,"TRUE",2066.92309818834,468679.672991071,33608.5423177083,4981355.69042969
"M669T477",669.373618933489,476.811,-15.8323633586666,-3.9848047231567,0.999999999953486,"FALSE",130.303143628094,7.02572807983544,0.00480612001805852,"TRUE",2063.00671669651,5507.69061061314,347.87545522054,45329.2654062907
"M370T472",369.742413187814,472.32,-15.9220765540313,-3.99295659903755,0.999999999953486,"FALSE",125.615680167069,6.97287275183324,1.99498147856043e-05,"TRUE",2000.06247600679,4624.26291111537,290.430892944336,36482.6741587321
"M658T400",658.371315037961,400.072,-13.4977873282128,-3.75465102273774,0.999999999953486,"FALSE",145.327131936673,7.18316026271339,2.14828312320985e-05,"TRUE",1961.59471990033,7590.67658560617,562.364512125651,81726.8216501872
"M347T422_1",346.710166055314,422.003,-8.10709982465165,-3.01918590742741,0.999999999953486,"FALSE",237.255493031603,7.8902976792454,0.000479491546536405,"TRUE",1923.45396595415,4418.03680419922,544.958974202474,129294.510106405
"M369T472_2",369.241111431907,472.48,-15.4490805876709,-3.94944907728391,0.999999999953486,"FALSE",124.057322474634,6.95486308249046,1.47366798817904e-05,"TRUE",1916.5715724013,16820.3103288923,1088.75801595052,135068.404281616
"M428T438",428.287029870736,437.6565,-15.2910985301544,-3.93462015018491,0.999999999953486,"FALSE",122.684270741508,6.93880648378079,3.30890971139466e-05,"TRUE",1875.97727200854,147032.539742606,9615.56420898438,1179678.4827474
"M784T415",784.490978695004,415.122,-13.1105638500663,-3.71265782821223,0.999999999953486,"FALSE",140.333116465973,7.13271169284139,1.88355811509663e-05,"TRUE",1839.84628370593,49768.1178152902,3796.03184000651,532708.978312174
"M424T479_1",423.756609101065,478.7015,-16.3324883198687,-4.02967270288765,0.999999999953486,"FALSE",112.004094281716,6.80740766037872,3.76695913501832e-05,"TRUE",1829.30556163359,15837.9184134347,969.718643188477,108612.45833842
"M781T531",781.383030949764,531.316,-14.9703491918682,-3.90403596835457,0.999999999953486,"FALSE",121.355739571877,6.92309853275959,0.000677185725174101,"TRUE",1816.73779782842,618.872448512486,41.3398806254069,5016.83178710938
"M596T407",596.355622801738,407.064,-7.47066036195836,-2.90123577431501,0.999999999953486,"FALSE",240.087423993279,7.90741602558918,0.00150126717547789,"TRUE",1793.61160183128,9014.59242902483,1206.66607666016,289705.349965413
"M291T513",291.108527889391,513.4225,-16.9608552618029,-4.08413701542831,0.999999999953486,"FALSE",104.552461218267,6.70808321387911,0.0114090870255584,"TRUE",1773.29916198828,25974.9609723772,1531.46528116862,160118.464416504
"M349T422_1",348.688745906365,421.88,-7.81831316738385,-2.96685737382941,0.999999999953486,"FALSE",219.57644446864,7.77857948423151,0.000970562372967721,"TRUE",1716.7174070365,2705.62348937988,346.062306722005,75987.1308746338
"M635T400",635.38520075134,399.633,-12.7352992919955,-3.67076095964308,0.999999999953486,"FALSE",133.249924956048,7.05799091025961,8.06209542613324e-06,"TRUE",1696.97767495121,29989.6979806083,2354.84830729167,313783.360229492
"M383T476",382.740477359495,476.117,-14.837411816917,-3.89116755042096,0.999999999953486,"FALSE",113.561236071724,6.82732664723288,1.56316034843532e-05,"TRUE",1684.9548260343,3587.84794834682,241.810902913411,27460.3450304667
